name,address,desc,price
DeLoach Vineyards,"1791 Olivet Rd, Santa Rosa CA 95401","Since 1975, DeLoach Vineyards has been a pioneering producer of Pinot Noir, Chardonnay, and Zinfandel in the Russian River Valley where we seek to craft terroir-driven and distinctive wines.",From $25
Kenwood Vineyards,"9592 Sonoma Highway, Kenwood CA 95452",Welcome to historic Kenwood Vineyards. Our friendly staff invites you to taste a variety of award-winning wines from some of Sonoma County’s most well-known vineyards.,From $20
Ferrari-Carano Vineyards & Winery,"8761 Dry Creek Road, Healdsburg CA 95448","Explore our picturesque winery with breathtaking views, gardens, and delicious, hand-crafted, award-winning wines. Swirl, sip, taste, tour, stroll, and shop.",From $15
J Vineyards & Winery,"11447 Old Redwood Highway, Healdsburg CA 95448","The elegant J Bubble Room’s seated, five-course experience showcases the innovative, local and seasonally-inspired food of Executive Chef Carl Shelton paired with J’s acclaimed wines.",From $30
Ledson Winery & Vineyards,"7335 Sonoma Highway 12, Kenwood CA 95409","Intimate tastings of meticulously hand-crafted, limited production wines scoring in the mid-’90s and above, showcasing the absolute best Sonoma County has to offer. Oak-shaded picnic grounds, a gourmet marketplace, and mountaintop tastings.",From $20
Seghesio Family Vineyards,"700 Grove Street, Healdsburg CA 95448","Established in 1895, Seghesio Family Vineyards specializes in Zinfandel and Italian varietals crafted from exceptional estate-owned and farmed vineyards across Sonoma County.",From $20
MacPhail Wines,"6761 McKinley Street, Sebastopol CA 95472","The MacPhail Tasting Lounge at The Barlow is one of the most unique wine experiences in Wine Country. The Barlow is one of the most exciting destinations in Sonoma County. Enjoy our Pinot Noir and Chardonnay in a friendly, fascinating environment.",From $20
Chateau St. Jean,"8555 Sonoma Hwy, Kenwood CA 95452",Experience the Sonoma wine lifestyle at Chateau St. Jean. Delight in our award-winning wines in our 1920s Chateau and take in the breathtaking views of our estate.,From $15
Dry Creek Vineyard,"3770 Lambert Bridge Road, Healdsburg CA 95448","Our relaxed and inviting family winery makes the perfect afternoon getaway. Modeled after a Loire Valley chateau, our charming tasting room epitomizes the small family feel of the Dry Creek Valley",From $15
Sonoma-Cutrer Vineyards,"4401 Slusser Road, Windsor CA 95492","By embracing Burgundian traditions on Sonoma soil, we make wines that embody the beauty and authenticity of both places. Taste the passion, share the discovery.",From $15
JCB Tasting Salon,"320 Center Street, Healdsburg CA 95448","Returning to the Healdsburg Plaza, the newest JCB Tasting Salon is a captivating & luxurious wine experience to enlighten all your senses!",From $30
Inman Family Wines,"3900 Piner Rd, Santa Rosa CA 95401","Known for their sensitive farming, natural winemaking style and organic Estate vineyards, Inman Family produces elegant Pinot Noir, Chardonnay and sparkling wines from the Russian River Valley.",From $20
St. Francis Winery,"100 Pythian Road, Santa Rosa CA 95409","Discover an authentic Sonoma Valley experience. Award-winning wine tastings, exquisite food pairings, majestic landscapes, sprawling vineyards & pure Wine Country charm coming together to make your visit unforgettable.",From $30
La Crema Estate at Saralee’s Vineyard,"3575 Slusser Rd, Windsor CA 95492",Immerse yourself into our dazzling world of Pinot Noirs and Chardonnays at our stunning Estate located in the heart of the Russian River Valley.,From $30
Siduri Wine Lounge,"241 Healdsburg Ave., Healdsburg CA 95448","A culmination of fruit, fermentation and family. We believe that wine should be a pleasure. Serious wine and serious fun aren't mutually exclusive.",From $20
